contig	length	gc
contig_1	21949	0.39322975989794523
contig_100	32904	0.4146912229516168
contig_1000	21901	0.5213003972421351
contig_10000	97604	0.5868509487316094
contig_10001	3725	0.5259060402684563
contig_10003	17753	0.5298822734185772
contig_10004	6767	0.504507167134624
contig_10005	8369	0.5809535189389413
contig_10006	17462	0.6329744588248769
contig_10007	13769	0.5971384995279251
contig_10008	245594	0.641261594338624
contig_10009	5245	0.4291706387035272
contig_1001	38881	0.4196651320696484
contig_10010	20458	0.34734578160132956
contig_10012	14487	0.5696141368123145
contig_10013	5472	0.28965643274853803
contig_10016	242938	0.597201755180334
contig_10018	54927	0.5440675806069875
contig_10019	27260	0.4997432134996332
contig_10020	24193	0.472657380233952
contig_10021	6771	0.38369517058041647
contig_10022	11172	0.4855889724310777
contig_10023	5497	0.541204293250864
contig_10024	12642	0.5374940673943996
contig_10026	46839	0.5447810585196097
contig_10027	79243	0.530810292391757
contig_10028	132449	0.6057274875612499
contig_10029	54828	0.49538556941708617
contig_10031	23348	0.6019359259893781
contig_10032	70273	0.6158979978085467
contig_10033	16396	0.4932910465967309
contig_10036	13461	0.4309486665180893
contig_10037	4257	0.47122386657270376
contig_10038	11432	0.34648355493351995
contig_1004	5972	0.42916945746818486
contig_10040	3057	0.3869807000327118
contig_10041	5862	0.3268509041282839
contig_10042	8934	0.4172822923662413
contig_10043	130666	0.3875759570201889
contig_10044	15864	0.37953857791225415
contig_10045	38021	0.374713973856553
contig_10046	35764	0.5857566267755284
contig_10047	128904	0.6178861788617886
contig_10049	10620	0.3854990583804143
contig_10050	108593	0.4073006547383349
contig_10051	10600	0.4057547169811321
contig_10052	6333	0.6044528659403127
contig_10053	19435	0.4633393362490352
contig_10054	11731	0.4694399454436962
contig_10055	41371	0.2828067970317372
contig_10056	367075	0.48541851120343255
contig_10057	48398	0.5955824620852102
contig_10058	28584	0.5984466834592779
contig_10059	26337	0.6492766829935073
contig_1006	22919	0.5279898773943017
contig_10060	1743681	0.4395350984497738
contig_10061	13885	0.48282319049333816
contig_10062	10186	0.392401335165914
contig_10063	267130	0.5336577696252761
contig_10064	23945	0.3075798705366465
contig_10065	24937	0.4893531699883707
contig_10066	51379	0.5141205550906012
contig_10069	5129	0.4377071553909144
contig_1007	71170	0.4484192777855838
contig_10070	3550	0.4791549295774648
contig_10071	3572	0.37262038073908177
contig_10073	5936	0.39285714285714285
contig_10074	45879	0.4721768129209442
contig_10076	19103	0.40977856881118147
contig_10077	16217	0.44280693099833507
contig_10078	7088	0.5965011286681715
contig_10079	42257	0.5653501195068272
contig_10080	123015	0.43238629435434706
contig_10081	9350	0.41262032085561495
contig_10082	36883	0.402760079169265
contig_10083	4966	0.4049536850583971
contig_10084	98009	0.42041037047618074
contig_10085	263319	0.4370440416377094
contig_10088	6311	0.35430201235937253
contig_1009	5105	0.4190009794319295
contig_10090	35620	0.4331555306007861
contig_10091	16783	0.42709885002681286
contig_10092	7299	0.39128647759967117
contig_10093	13925	0.3541831238779174
contig_10094	179086	0.3676557631528986
contig_10095	24417	0.48929024859728876
contig_10096	14086	0.3473661791850064
contig_10097	24569	0.34987178965362853
contig_10105	90851	0.5292621985448702
contig_10107	7914	0.5577457669951984
contig_10108	14013	0.49903660886319845
contig_10109	21575	0.39772885283893394
contig_10110	21908	0.3741099141865985
contig_10111	21782	0.41492975851620606
contig_10112	13246	0.495621319643666
contig_10113	24876	0.5603794822318701
contig_10114	19480	0.4188398357289528
contig_10115	10112	0.4230617088607595
contig_10116	37648	0.6274702507437314
contig_10117	151109	0.40637553024637846
contig_10119	37642	0.42473832421231605
contig_10120	17200	0.4219767441860465
contig_10121	14444	0.48206867903627804
contig_10122	20403	0.5825613880311719
contig_10123	15956	0.38393080972674853
contig_10124	70834	0.5898720953214558
contig_10125	3651	0.5469734319364558
contig_10126	7772	0.4346371590324241
contig_10127	7220	0.4599722991689751
contig_10128	10051	0.6330713361854542
contig_10129	11147	0.6500403696061721
contig_10130	11488	0.48598537604456826
contig_10131	17493	0.4775624535528497
contig_10132	43646	0.5971452137652935
contig_10135	18946	0.5988599176607199
contig_10136	28274	0.6538162269222607
contig_10137	5809	0.531072473747633
contig_10138	87599	0.5829518601810523
contig_10140	6600	0.5403030303030303
contig_10141	22024	0.3863966581910643
contig_10142	241678	0.4758521669328611
contig_10143	14741	0.36103385116342174
contig_10144	8426	0.33159268929503916
contig_10145	6160	0.65
contig_10146	14536	0.3913731425426527
contig_10147	89171	0.274876361148804
contig_10150	11129	0.4563752358702489
contig_10151	12644	0.47603606453653907
contig_10152	27391	0.46803694644226207
contig_10153	7369	0.4712986836748541
contig_10154	11233	0.4560669456066946
contig_10155	20179	0.436592497150503
contig_10157	67688	0.46752747902139224
contig_10159	21136	0.46158213474640425
contig_10161	11088	0.43804112554112556
contig_10162	14774	0.4086909435494788
contig_10163	10205	0.44409603135717785
contig_10164	98112	0.49209067188519245
contig_10166	10703	0.40568065028496686
contig_10167	14460	0.6286307053941909
contig_10168	9376	0.5093856655290102
contig_10169	35763	0.4348908089366105
contig_10170	10189	0.45372460496614
contig_10171	5746	0.44813783501566307
contig_10172	44663	0.40904104068244407
contig_10173	27578	0.43958952788454564
contig_10174	20166	0.49360309431716753
contig_10175	5026	0.6177875049741345
contig_10176	43885	0.44429759598951807
contig_10177	35406	0.4099022764503192
contig_10178	69778	0.4186419788472011
contig_10179	18970	0.4225619399051133
contig_10180	4173	0.4184040258806614
contig_10181	4238	0.42189712128362433
contig_10182	23102	0.37607133581508095
contig_10183	10304	0.3641304347826087
contig_10184	20254	0.4565517922385702
contig_10185	29664	0.4430960086299892
contig_10186	13511	0.5250536599807564
contig_10188	75770	0.40712683119968324
contig_10189	6412	0.3424828446662508
contig_10190	10462	0.3633148537564519
contig_10191	4918	0.22244814965433102
contig_10195	23718	0.41668774770216715
contig_10197	23015	0.4144688246795568
contig_10198	4437	0.4013973405454136
contig_10199	13879	0.4189062612580157
contig_102	13264	0.4620024125452352
contig_10200	10236	0.4209652207893709
contig_10201	15626	0.4027262255215666
contig_10202	17252	0.4098075585439369
contig_10203	101549	0.43927562063634307
contig_10204	4285	0.4406067677946324
contig_10210	5362	0.3474449832152182
contig_10211	12653	0.35659527384809925
contig_10212	9114	0.5197498354180382
contig_10213	68153	0.26814666999251685
contig_10214	9611	0.5981687649568204
contig_10215	14375	0.5573565217391304
contig_10216	168202	0.6057121794033364
contig_10218	6518	0.4193003988953667
contig_10219	4092	0.5332355816226784
contig_1022	4815	0.41495327102803736
contig_10221	489796	0.42072209654631726
contig_10222	180682	0.4307900067521945
contig_10223	115193	0.4255900966204544
contig_10224	652654	0.4255455417418724
contig_10226	25954	0.41407875471988903
contig_10227	76969	0.3583000948433785
contig_10228	69074	0.5581115904681936
contig_10229	4940	0.3062753036437247
contig_1023	3641	0.45948915133205165
contig_10230	6056	0.45426023778071334
contig_10231	44253	0.40614195647752693
contig_10232	19892	0.41569475165895836
contig_10233	32329	0.4008475362677472
contig_10234	11709	0.37996413015629005
contig_10235	18177	0.3893381746162733
contig_10236	12523	0.34815938672841973
contig_10237	8509	0.4578681396168762
contig_10238	5173	0.5403054320510342
contig_10239	23084	0.2703171027551551
contig_10241	9604	0.3868179925031237
contig_10242	16824	0.5082620066571565
contig_10243	4128	0.46124031007751937
contig_10245	14631	0.46927756134235526
contig_10247	20597	0.6316453852502791
contig_10248	5902	0.4329041003049814
contig_10249	5827	0.436245066071735
contig_10250	13929	0.5753463995979611
contig_10251	14685	0.6394960844399047
contig_10252	226721	0.38636473904049473
contig_10253	4123	0.3102110113994664
contig_10255	18242	0.34458940905602453
contig_10256	59707	0.5742877719530374
contig_10257	168070	0.6114357113107634
contig_10258	141197	0.589828395787446
contig_10259	44292	0.5685225322857401
contig_10260	38770	0.5366262574155275
contig_10261	7340	0.6290190735694823
contig_10262	20037	0.522882667065928
contig_10263	34125	0.3792234432234432
contig_10264	12851	0.5934946696755117
contig_10265	6767	0.5902172306782917
contig_10266	183094	0.6081630200880422
contig_10267	32274	0.2635867881266654
contig_10268	61242	0.42070801084223247
contig_10269	35512	0.441794323045731
contig_10270	18171	0.5776236860932255
contig_10271	11925	0.3528721174004193
contig_10272	12524	0.44674225487064834
contig_10274	7476	0.3543338683788122
contig_10275	72578	0.44014715202954063
contig_10276	7898	0.4568245125348189
contig_10277	37642	0.44200626959247646
contig_10278	23229	0.6454431960049938
contig_10279	20034	0.5223120694818808
contig_10280	29782	0.5106104358337251
contig_10281	59415	0.6404611630059749
contig_10283	6249	0.5756120979356697
contig_10284	3503	0.35826434484727376
contig_10285	38756	0.4176643616472288
contig_10286	29140	0.4829787234042553
contig_10287	31504	0.5218702386998476
contig_10288	12236	0.6226708074534162
contig_10289	9802	0.3256478269740869
contig_10292	11691	0.46129501325806177
contig_10293	17364	0.4619903248099516
contig_10295	5373	0.3897264098269123
contig_10297	6564	0.40234613040828765
contig_10299	30058	0.4257102934326968
contig_103	82132	0.44197146057565867
contig_10300	35439	0.6097519681706595
contig_10301	26967	0.44713909593206513
contig_10302	3137	0.460631176283073
contig_10305	3155	0.42345483359746433
contig_10306	15754	0.4836866827472388
contig_10309	44905	0.40570092417325465
contig_10310	85557	0.4063489837184567
contig_10311	4101	0.4776883686905633
contig_10312	15061	0.37653542261470024
contig_10313	66949	0.5677306606521382
contig_10314	10819	0.425455217672613
contig_10315	192922	0.4749225075419081
contig_10316	330061	0.4212191079830698
contig_10317	4884	0.38554463554463553
contig_10318	5422	0.41460715603098486
contig_10320	19848	0.28038089480048367
contig_10321	36665	0.4879585435701623
contig_10322	27807	0.3703024418311936
contig_10324	16430	0.40024345709068776
contig_10325	4494	0.5694259012016022
contig_10326	50049	0.594817079262323
contig_10327	14667	0.5185109429331152
contig_10328	7525	0.6211295681063123
contig_10329	138534	0.2764375532360287
contig_10330	56102	0.4623721079462408
contig_10331	3686	0.39880629408572976
contig_10333	62167	0.41444817990252064
contig_10334	28238	0.4336709398682626
contig_10335	29148	0.4801358583779333
contig_10337	13782	0.5502104193876071
contig_10338	11281	0.5506604024465916
contig_10339	19189	0.48293293032466517
contig_1034	3727	0.40327341024953045
contig_10340	5754	0.5076468543621828
contig_10343	12064	0.27851458885941643
contig_10344	41891	0.4157456255520279
contig_10345	132844	0.5214763180873807
contig_10346	10486	0.4422086591646004
contig_10347	9277	0.46663792174194246
contig_10348	12081	0.39524873768727753
contig_10349	12217	0.415650323319964
contig_10351	24147	0.45500476249637634
contig_10352	21533	0.47113732410718434
contig_10353	45757	0.47457219660379835
contig_10356	12469	0.4644317908412864
contig_10357	53998	0.4716470980406682
contig_10358	4098	0.6222547584187409
contig_10359	4862	0.4444672974084739
contig_1036	3160	0.539873417721519
contig_10360	12928	0.5527537128712872
contig_10361	3451	0.5415821501014199
contig_10362	6976	0.5045871559633027
contig_10365	172175	0.5884826484681284
contig_10366	14618	0.49972636475578053
contig_10369	49913	0.5561476969927674
contig_10370	132155	0.5637092807687942
contig_10371	6241	0.4298990546386797
contig_10372	109330	0.4168938077380408
contig_10373	4025	0.35478260869565215
contig_10375	39248	0.3556869139828781
contig_10376	23958	0.5072627097420486
contig_10379	15020	0.5327563249001331
contig_10380	31943	0.6026985568043077
contig_10381	61561	0.6363444388492715
contig_10382	50587	0.5411469349832961
contig_10383	11610	0.6425495262704565
contig_10384	28038	0.5080961552179185
contig_10385	15153	0.5903121494093578
contig_10386	8213	0.6081821502496043
contig_10387	17557	0.4299709517571339
contig_10388	23996	0.4890398399733289
contig_10389	49192	0.4081557976906814
contig_1039	4023	0.4697986577181208
contig_10390	203670	0.5716747680070703
contig_10391	12843	0.5219185548547847
contig_10392	39906	0.5793113817471057
contig_10393	286930	0.6095214860767435
contig_10394	22954	0.5859980831227672
contig_10397	15016	0.5572056473095365
contig_10398	3253	0.4325238241623117
contig_10399	11479	0.5070999215959578
contig_104	146193	0.48230763442846103
contig_10400	22300	0.37690582959641256
contig_10401	61225	0.3784565128623928
contig_10402	70015	0.3706919945725916
contig_10403	139257	0.30405652857666043
contig_10404	12894	0.399953466728711
contig_10405	8965	0.45376464026770774
contig_10407	16658	0.3751951014527554
contig_10408	12732	0.47298146402764685
contig_10409	121956	0.5785611204040801
contig_1041	3090	0.47637540453074434
contig_10410	181349	0.41076598161555894
contig_10411	22552	0.5081145796381695
contig_10412	8217	0.43434343434343436
contig_10413	66338	0.42750761252977176
