contig	length	gc
contig_52405	4438	0.37314105452906715
contig_47015	3847	0.4533402651416688
contig_53349	7697	0.5076003637780954
contig_54362	15681	0.6185192270901091
contig_63806	3114	0.3978805394990366
contig_55589	10763	0.47189445321936263
contig_41941	97591	0.4525622239755715
contig_20575	4791	0.5537466082237529
contig_68555	15334	0.37028824833702884
contig_7895	22540	0.3394853593611358
contig_81637	28466	0.381929319187803
contig_74683	4886	0.44924273434302087
contig_22071	5300	0.37528301886792453
contig_72882	24523	0.5870815153121559
contig_57172	21008	0.4121763137852247
contig_64141	5726	0.42193503318197695
contig_50826	3305	0.5860816944024205
contig_60902	6452	0.6354618722876627
contig_72994	4059	0.3237250554323725
contig_13100	20034	0.4044124987521214
contig_66979	8367	0.5798972152503884
contig_43230	167443	0.6375662165632484
contig_71897	13753	0.5143605031629462
contig_77956	4044	0.45351137487636006
contig_76070	13539	0.4060861215747101
contig_55807	189168	0.5805633088048718
contig_79470	10224	0.5212245696400626
contig_46175	6951	0.35764638181556613
contig_46780	33454	0.46723859628146114
contig_46208	18252	0.3940937979399518
contig_73951	17330	0.4967109059434507
contig_4794	25741	0.31377957344314517
contig_83190	41104	0.6115463215258855
contig_10334	3814	0.3085998951232302
contig_45268	45755	0.4002841219538848
contig_77039	10654	0.44002252675051623
contig_25575	18772	0.4554123162156403
contig_67468	6369	0.39943476212906265
contig_13469	4183	0.4546975854649773
contig_62809	16488	0.5698083454633673
contig_16727	4302	0.6417945141794514
contig_7119	7969	0.33718157861714143
contig_68211	9346	0.37352878236678794
contig_75152	12102	0.6261774913237481
contig_31490	8158	0.4504780583476342
contig_66891	3792	0.36603375527426163
contig_32684	6094	0.5278962914341976
contig_63961	4912	0.2664902280130293
contig_57929	13617	0.2669457296027025
contig_15239	21949	0.4987015353774659
contig_69431	4281	0.43074048119598224
contig_4688	49414	0.3530780750394625
contig_20107	80518	0.4355175240318935
contig_33848	12524	0.5921430852762696
contig_72714	23168	0.6094613259668509
contig_72426	24043	0.3304912032608244
contig_38515	3402	0.2889476778365667
contig_68473	19654	0.6007937315559174
contig_66163	21720	0.3757826887661142
contig_80950	73834	0.5058374190752228
contig_24697	4790	0.4872651356993737
contig_68188	24043	0.634529800773614
contig_79262	19999	0.6225311265563278
contig_43224	18314	0.64895708201376
contig_62663	4484	0.5985727029438002
contig_55520	10555	0.4208432022738039
contig_42043	138906	0.6078067182123162
contig_77547	4678	0.5294997862334331
contig_19950	34208	0.42516370439663237
contig_47802	37703	0.29101132535872476
contig_34631	4735	0.4680042238648363
contig_43286	7062	0.37779665817048996
contig_74260	13836	0.375180688060133
contig_31143	5819	0.5887609554906341
contig_50592	158762	0.569493959511722
contig_69833	19636	0.4318089223874516
contig_54208	12494	0.6079718264767088
contig_77711	84957	0.45462998928869897
contig_14721	4884	0.4737919737919738
contig_8094	12205	0.3873822204014748
contig_5239	3364	0.5942330558858502
contig_31408	3061	0.3178699771316563
contig_66387	15355	0.5871051774666233
contig_66717	64124	0.3641538269602645
contig_34693	136374	0.5126197075688914
contig_69992	4918	0.37596583977226516
contig_70900	12453	0.31381996306110976
contig_42994	17995	0.707529869408169
contig_73984	15174	0.688216686437327
contig_74814	3355	0.5666169895678093
contig_83419	14804	0.5741691434747366
contig_60565	306818	0.5891342750425334
contig_5878	54023	0.45560224348888434
contig_44405	50713	0.5942657701181157
contig_27493	3887	0.44455878569590945
contig_10864	17949	0.5413672070867458
contig_55310	385270	0.6285903392426091
contig_13774	53676	0.38313212608987257
contig_74784	13083	0.6554307116104869
contig_44166	59789	0.45088561441067754
contig_140	1613399	0.5665257013299252
contig_57952	4682	0.43250747543784707
contig_37825	4733	0.3443904500316924
contig_55850	60254	0.5770405284296478
contig_5100	16141	0.357164983582182
contig_72976	11639	0.37803935045966147
contig_57047	7814	0.6519068338878935
contig_42672	10256	0.6336778471138845
